#名前	性別(0=両,1=男,2=女)	レア度	スロット1	スロット2	スロット3	入手時期	初期防御力	最終防御力	火耐性	水耐性	雷耐性	氷耐性	龍耐性	スキル系統1	スキル値1	スキル系統2	スキル値2	スキル系統3	スキル値3	スキル系統4	スキル値4	スキル系統5	スキル値5	生産素材1	個数	生産素材2	個数	生産素材3	個数	生産素材4	個数	カスタム強化防御力	カスタム強化素材1	個数1	カスタム強化素材2	個数2	ワンセット防具	仮番号
カムラノ装【頭巾】覇	0	4	1	0	0		30	50	2	0	0	0	0	精霊の加護	1	死中に活	1							カブレライト鉱石	2	紅蓮石	1											10
レザーＳヘッド	0	4	1	1	0		30	50	0	0	0	0	0	地質学	1	腹減り耐性	1							上質な毛皮	1	ドラグライト鉱石	3											20
チェーンＳヘッド	0	4	2	0	0		32	52	0	0	1	0	0	植生学	1	防御	1							カブレライト鉱石	2	ドラグライト鉱石	1											30
ハンターＳヘルム	0	4	2	0	0		32	52	0	0	0	0	0	アイテム使用強化	1									上質な毛皮	1	カブレライト鉱石	2											40
アロイＳヘルム	0	4	1	0	0		32	52	-1	0	-1	-1	0	水属性攻撃強化	1	剛刃研磨	1							グラシスメタル	2	カブレライト鉱石	1	マカライト鉱石	2									50
ボーンＳヘルム	0	4	1	0	0		32	52	0	0	0	-1	0	スタミナ奪取	1	破壊王	1							ねじれた堅怪骨	2	イズチの剛毛	2	鋭利な爪	1									60
スカルダＳテスタ	1	4	2	0	0		32	52	3	-1	-1	-1	3	毒属性強化	2									毒クモリ	2	モンスターの濃汁	1	鋭利な牙	2									70
スパイオＳテスタ	2	4	2	0	0		32	52	3	-1	-1	-1	3	毒属性強化	2									毒クモリ	2	モンスターの濃汁	1	鋭利な牙	2									80
ブナハＳハット	0	4	2	0	0		34	54	-2	0	0	0	2	毒属性強化	1	反動軽減	2							飛甲虫の堅殻	2	上質な腹袋	2	ねじれた堅怪骨	2									90
イズチＳヘルム	0	4	1	1	0		36	56	2	-1	-2	0	0	見切り	1									鎌鼬竜の上毛	4	鎌鼬竜の上皮	1	イズチの剛毛	2									100
バギィＳヘルム	0	4	2	1	0		36	56	-4	-1	-1	2	1	氷属性攻撃強化	2									王者のトサカ	1	眠狗竜の上皮	3	カブレライト鉱石	2	鳥竜玉	1							110
クルルＳヘルム	0	4	1	1	0		38	58	0	-3	0	1	0	渾身	1									掻鳥の大飾り羽	1	掻鳥の上鱗	4	掻鳥の上皮	1									120
フロギィＳヘルム	0	4	1	0	0		38	58	2	-2	1	-4	0	速射強化	1	回避距離ＵＰ	1							毒狗竜の上皮	4	王者のクチバシ	1	カブレライト鉱石	3									130
アシラＳヘルム	0	4	1	1	0		36	56	-2	0	-2	0	0	不屈	1	防御	1							青熊獣の剛毛	3	青熊獣の堅腕甲	2	上質な毛皮	2									140
ウルクＳヘルム	0	4	3	0	0		36	56	-3	1	0	3	0	見切り	1	氷属性攻撃強化	2							白兎獣の大耳	2	白兎獣の剛毛	3	堅牢な骨	1	上質な毛皮	1							150
アケノＳヘルム	0	4	2	0	0		38	58	3	-3	-1	0	0	納刀術	1	火属性攻撃強化	1							傘鳥の上羽鱗	3	傘鳥の大トサカ	1	傘鳥のクチバシ	1	イズチの剛毛	2							160
フルフルＳヘルム	0	4	1	0	0		38	58	-4	1	4	2	1	集中	1	体力回復量ＵＰ	1							真珠色の柔皮	4	尖竜骨	1	ドラグライト鉱石	2	上質な堅骨	1							170
ヨツミＳヘルム	0	4	1	0	0		40	60	-1	4	-2	1	0	通常弾・連射矢強化	1	早食い	1							河童蛙の大皿	1	河童蛙の上皮	3	河童蛙の大嘴	1	大水袋	2							180
インゴットＳヘルム	0	4	3	1	0		40	58	-1	-1	1	0	0	風圧耐性	1									ユニオン鉱石	2	ドラグライト鉱石	3	グラシスメタル	2	ケストドンの堅殻	2							190
混沌のパオ・覇	0	4	1	1	0		40	58	2	-2	0	0	0	キノコ大好き	1									闇盛り茸	3	マンドラゴラ	2	堅牢な骨	3	ユニオン鉱石	2							200
エーデルＳフロール	0	4	2	2	0		40	58	-1	3	-1	0	0	毒耐性	2									星見の麗花	3	大水袋	1	流水草	3	肉厚な上皮	1							210
ズワロＳフード	0	4	3	0	0		42	60	-2	2	0	-1	1	満足感	1	陽動	1							垂皮竜の上皮	2	ファンゴの上毛皮	3	上質な毛皮	2									220
リノプロＳヘルム	0	4	1	0	0		42	60	2	0	0	-2	0	貫通弾・貫通矢強化	2	気絶耐性	1							草食竜の堅殻	3	草食竜の頭殻	1	カブレライト鉱石	2									230
ファンゴＳフェイク	0	4	1	0	0		36	54	0	4	-2	0	0	鈍器使い	2									ファンゴの頭	2	ファンゴの上毛皮	4	天狗獣の剛毛	2	ねじれた堅怪骨	2							240
ジャギィＳフェイク	0	4	2	0	0		36	54	0	0	0	0	0	滑走強化	1									ジャギィの上鱗	2	ジャギィの上皮	2	上質な堅骨	1	鋭利な牙	2							250
ラングロＳヘルム	0	4	1	1	0	5	50	68	2	-3	0	-1	1	麻痺属性強化	2	鈍器使い	1							赤甲獣の堅殻	2	強力麻痺袋	2	赤甲獣の尖爪	1	獣玉	1							260
ルドロスＳヘルム	0	4	1	1	0	5	48	66	-3	4	-1	0	0	ランナー	1	フルチャージ	1							高級なトサカ	2	水獣の上鱗	3	大水袋	1	水生獣の上皮	2							270
ボロスＳヘルム	0	4	2	1	0	5	50	68	-3	-1	3	-1	0	攻撃	1	防御	1	攻めの守勢	1					土砂竜の堅殻	4	土砂竜の鋭爪	2	土砂竜の尻尾	1	尖竜骨	2							280
テンゴＳヘルム	0	5	1	0	0	5	52	70	-2	2	2	-4	2	アイテム使用強化	1	広域化	1	気絶耐性	1					天狗獣の剛毛	4	天狗獣の堅頭襟	1	堅牢な骨	2	鎌鼬竜の上毛	1							290
プケプケＳヘルム	0	5	2	0	0	5	50	68	0	3	-3	0	1	特殊射撃強化	1	弾丸節約	1							毒妖鳥の堅殻	4	毒妖鳥の大喉袋	2	カブレライト鉱石	2	鳥竜玉	1							300
ジュラヘルム	0	5	2	1	0	5	48	66	-1	2	-3	0	0	攻めの守勢	1	回避距離ＵＰ	1							泥魚竜の上鱗	4	泥魚竜の鋭牙	3	大水袋	1	尖竜骨	1							310
バサルＳヘルム	0	5	2	1	0	5	52	70	0	-2	1	1	-3	砲弾装填	1	防御	2							岩竜の堅胸殻	3	猛毒袋	2	翼蛇竜の上皮	2	岩竜の涙	1							320
レイアＳヘルム	0	5	2	1	0	5	52	70	3	0	-2	0	-3	属性やられ耐性	1									雌火竜の堅殻	4	雌火竜の上棘	1	爆炎袋	2	ユニオン鉱石	3							330
スカルＳヘッド	0	5	3	2	0		50	58	-3	-3	-3	-3	4	不屈	1									堅竜骨	3	埋もれた竜骨骸	2	いにしえの龍骨	1	鋭利な牙	3							340
ドーベルヘルム	0	5	1	1	0		52	60	-2	0	0	0	4	龍属性攻撃強化	1	攻撃	1	火事場力	1					尖竜骨	2	埋もれた竜骨骸	3	鎌鼬竜の上毛	2	ファンゴの上毛皮	1							350
アルブーロＳヘッド	0	5	2	1	0		52	60	0	-2	1	-1	0	弾導強化	2									マクラサカガイ	1	人魚竜の尖鉤爪	2	咬魚の上ヒゲ	2	堅竜骨	1							360
メルホアＳフロール	0	5	2	2	0		52	60	0	1	3	0	0	麻痺耐性	2									ドスビスカス	2	げどく草	3	臣蜘蛛の絹糸	2	埋もれた竜骨骸	1							370
デスギアＳゲヒル	0	5	2	0	0		52	60	3	1	1	-1	0	剛刃研磨	1									禍々しい闇布	1	翼蛇竜の上皮	2	上質な堅骨	1	獄炎石	1							380
マギュルＳフロール	0	5	2	2	0		52	60	-3	1	0	3	0	爆破やられ耐性	2									ワヲンパンプキン	1	怪力の種	2	上質な腹袋	2	グラシスメタル	2							390
ヴァイクＳヘルム	0	5	2	1	0		52	60	0	3	-2	-1	0	装填拡張	2									ヨロイシダイ	2	キレアジ	2	水生獣の上皮	2	グラシスメタル	2							400
マカルパＳフード	0	5	2	2	0		52	60	1	2	-2	0	0	睡眠耐性	2									春夜鯉	2	カジキマグロ	1	肉厚な上皮	2	ドラグライト鉱石	2							410
ウツシ表【覆面】覇	1	5	1	0	0		52	60	3	0	0	0	0	早食い	1	満足感	1	幸運	1					カムラチケット	2	蛮顎竜の上鱗	3	堅竜骨	1	グラシスメタル	2							420
ウツシ裏【御面】覇	1	5	1	0	0		52	60	3	0	0	0	0	業物	2	弾丸節約	2	翔蟲使い	1					カムラチケット	2	蛮顎竜の鋭牙	2	堅竜骨	1	グラシスメタル	2							430
